date,time,code,result,product,FORCE_POS_1,FORCE_POS_2,z_score_pos1
2025-01-07,03:26:51,302693.07/250106-032627,NOK POS 1 POS 2,G250106-032656,0.1,0.0,-18.330519923475304
2025-01-07,05:29:39,302693.07/250106-052915,NOK POS 1 POS 2,G250106-052944,71.0,99.7,7.253849646235519
2025-01-07,21:22:58,302693.07/250107-212234,NOK POS 1 POS 2,G250107-212303,0.0,0.0,-18.36660507096432
2025-01-08,08:37:25,302693.07/250108-083709,NOK POS 1 POS 2,G250108-083732,0.4,0.1,-18.222264481008263
2025-01-08,09:11:25,302693.07/250108-091102,NOK POS 1 POS 2,G250108-091131,0.1,0.0,-18.330519923475304
2025-01-08,11:50:07,302693.07/250108-114943,NOK POS 1 POS 2,G250108-115014,0.1,0.0,-18.330519923475304
2025-01-08,14:20:00,302693.07/250108-141933,NOK POS 1 POS 2,G250108-142007,0.1,0.0,-18.330519923475304
2025-01-08,14:43:19,302693.07/250108-144254,NOK POS 1 POS 2,G250108-144326,0.1,0.0,-18.330519923475304
2025-01-08,17:43:22,302693.07/250108-174258,NOK POS 1 POS 2,G250108-174329,0.1,0.0,-18.330519923475304
2025-01-08,18:09:33,302693.07/250108-180854,NOK POS 1 POS 2,G250108-180940,0.1,0.0,-18.330519923475304
2025-01-08,21:41:54,302693.07/250108-214051,NOK POS 1 POS 2,G250108-214156,0.0,0.0,-18.36660507096432
2025-01-09,00:21:39,302693.07/250108-002102,NOK POS 1 POS 2,G250108-002147,0.0,0.0,-18.36660507096432
2025-01-09,00:42:54,302693.07/250108-004218,NOK POS 1 POS 2,G250108-004301,0.3,0.0,-18.258349628497278
2025-01-09,01:19:55,302693.07/250108-011935,NOK POS 1 POS 2,G250108-012002,0.1,0.0,-18.330519923475304
2025-01-09,04:16:04,302693.07/250108-041535,NOK POS 1 POS 2,G250108-041611,0.1,0.0,-18.330519923475304
2025-01-11,09:25:53,302693.07/250111-092532,NOK POS 1 POS 2,G250111-092603,0.2,0.0,-18.29443477598629
2025-01-11,15:46:28,302693.07/250111-154538,NOK POS 1 POS 2,G250111-154638,0.1,0.0,-18.330519923475304
2025-01-11,22:24:16,302693.07/250111-222357,NOK POS 1 POS 2,G250111-222427,0.1,0.0,-18.330519923475304
2025-01-13,01:56:10,302693.07/250112-015534,NOK POS 1 POS 2,G250112-015611,0.1,0.0,-18.330519923475304
2025-01-13,04:51:04,302693.07/250112-045039,NOK POS 1 POS 2,G250112-045105,0.2,0.0,-18.29443477598629
2025-01-13,09:09:05,302693.07/250113-090831,NOK POS 1 POS 2,G250113-090906,0.1,0.0,-18.330519923475304
2025-01-13,15:31:28,302693.07/250113-153101,NOK POS 1 POS 2,G250113-153130,0.1,0.0,-18.330519923475304
2025-01-13,19:10:39,302693.07/250113-191017,NOK POS 1 POS 2,G250113-191041,0.3,0.0,-18.258349628497278
2025-01-13,20:15:15,302693.07/250113-201439,NOK POS 1 POS 2,G250113-201517,0.1,0.0,-18.330519923475304
2025-01-13,22:23:33,302693.07/250113-222310,NOK POS 1 POS 2,G250113-222335,0.2,0.0,-18.29443477598629
2025-01-13,22:56:55,302693.07/250113-225634,NOK POS 1 POS 2,G250113-225658,0.6,0.0,-18.150094186030238
2025-01-13,23:34:43,302693.07/250113-233416,NOK POS 1 POS 2,G250113-233445,0.2,0.0,-18.29443477598629
2025-01-14,00:32:32,302693.07/250113-003209,NOK POS 1 POS 2,G250113-003234,0.1,0.0,-18.330519923475304
2025-01-14,00:52:22,302693.07/250113-005157,NOK POS 1 POS 2,G250113-005225,0.1,0.0,-18.330519923475304
2025-01-14,02:05:41,302693.07/250113-020520,NOK POS 1 POS 2,G250113-020543,0.3,0.0,-18.258349628497278
2025-01-14,02:14:32,302693.07/250113-020921,NOK POS 1 POS 2,G250113-021434,0.1,0.0,-18.330519923475304
2025-01-14,02:54:01,302693.07/250113-025340,NOK POS 1 POS 2,G250113-025404,0.3,0.0,-18.258349628497278
2025-01-14,03:40:31,302693.07/250113-034002,NOK POS 1 POS 2,G250113-034033,0.2,0.0,-18.29443477598629
2025-01-14,03:51:25,302693.07/250113-035100,NOK POS 1 POS 2,G250113-035127,0.2,0.0,-18.29443477598629
2025-01-14,04:21:16,302693.07/250113-042056,NOK POS 1 POS 2,G250113-042119,0.1,0.0,-18.330519923475304
2025-01-17,08:25:18,302693.07/250117-082455,NOK POS 1 POS 2,G250117-082524,0.2,0.0,-18.29443477598629
2025-01-17,08:58:44,302693.07/250117-085822,NOK POS 1 POS 2,G250117-085851,0.1,0.0,-18.330519923475304
2025-01-17,09:02:55,302693.07/250117-090239,NOK POS 1 POS 2,G250117-090301,0.3,0.0,-18.258349628497278
2025-01-17,09:06:15,302693.07/250117-090545,NOK POS 1 POS 2,G250117-090622,0.1,0.0,-18.330519923475304
2025-01-17,09:34:50,302693.07/250117-093427,NOK POS 1 POS 2,G250117-093456,0.2,0.0,-18.29443477598629
2025-01-17,09:55:58,302693.07/250117-095534,NOK POS 1 POS 2,G250117-095605,0.2,0.0,-18.29443477598629
2025-01-17,09:56:18,302693.07/250117-095557,NOK POS 1 POS 2,G250117-095624,0.2,0.0,-18.29443477598629
2025-01-17,10:24:54,302693.07/250117-102400,NOK POS 1 POS 2,G250117-102501,0.1,0.0,-18.330519923475304
2025-01-17,11:07:55,302693.07/250117-110648,NOK POS 1 POS 2,G250117-110801,0.1,0.0,-18.330519923475304
2025-01-17,11:09:36,302693.07/250117-110807,NOK POS 1 POS 2,G250117-110943,0.2,0.0,-18.29443477598629
2025-01-17,11:10:00,302693.07/250117-110938,NOK POS 1 POS 2,G250117-111006,0.1,0.0,-18.330519923475304
2025-01-17,11:11:50,302693.07/250117-110938,NOK POS 1 POS 2,G250117-111147,0.0,0.0,-18.36660507096432
2025-01-17,11:22:15,302693.07/250117-112152,NOK POS 1 POS 2,G250117-112222,0.1,0.0,-18.330519923475304
2025-01-17,11:23:52,302693.07/250117-112325,NOK POS 1 POS 2,G250117-112359,0.2,0.1,-18.29443477598629
2025-01-17,11:27:02,302693.07/250117-112647,NOK POS 1 POS 2,G250117-112709,0.1,0.0,-18.330519923475304
2025-01-17,11:42:43,302693.07/250117-114228,NOK POS 1 POS 2,G250117-114250,0.2,0.0,-18.29443477598629
2025-01-17,11:47:07,302693.07/250117-114648,NOK POS 1 POS 2,G250117-114714,0.2,0.0,-18.29443477598629
2025-01-17,12:00:25,302693.07/250117-120000,NOK POS 1 POS 2,G250117-120032,0.2,0.0,-18.29443477598629
2025-01-17,12:08:32,302693.07/250117-120808,NOK POS 1 POS 2,G250117-120839,0.1,0.0,-18.330519923475304
2025-01-17,12:11:23,302693.07/250117-121049,NOK POS 1 POS 2,G250117-121130,0.2,0.0,-18.29443477598629
2025-01-17,12:18:32,302693.07/250117-121808,NOK POS 1 POS 2,G250117-121839,0.0,0.0,-18.36660507096432
2025-01-17,12:24:59,302693.07/250117-122436,NOK POS 1 POS 2,G250117-122506,0.3,0.0,-18.258349628497278
2025-01-17,14:15:43,302693.07/250117-141519,NOK POS 1 POS 2,G250117-141550,0.0,0.0,-18.36660507096432
2025-01-17,14:24:02,302693.07/250117-142346,NOK POS 1 POS 2,G250117-142409,0.1,0.0,-18.330519923475304
2025-01-17,14:28:10,302693.07/250117-142739,NOK POS 1 POS 2,G250117-142817,0.2,0.0,-18.29443477598629
2025-01-17,14:46:51,302693.07/250117-144634,NOK POS 1 POS 2,G250117-144658,0.0,0.0,-18.36660507096432
2025-01-17,16:21:06,302693.07/250117-162031,NOK POS 1 POS 2,G250117-162113,0.1,0.0,-18.330519923475304
