date,time,code,result,product,FORCE_POS_1,FORCE_POS_2
07/01/2025,02:39:55,302693.07/250106-023543,OK,G250106-023947,52.4,75.4
07/01/2025,02:40:16,302693.07/250106-023614,OK,G250106-024021,51.7,73.9
07/01/2025,02:40:23,302693.07/250106-023724,OK,G250106-024028,52.1,73.7
07/01/2025,02:40:45,302693.07/250106-023728,OK,G250106-024050,51.4,73.4
07/01/2025,02:41:25,302693.07/250106-023733,OK,G250106-024130,52.5,74.1
07/01/2025,02:42:00,302693.07/250106-023943,OK,G250106-024205,52.0,73.8
07/01/2025,02:42:05,302693.07/250106-023950,OK,G250106-024209,51.9,73.5
07/01/2025,02:42:09,302693.07/250106-024029,OK,G250106-024214,52.2,73.8
07/01/2025,02:42:23,302693.07/250106-024057,OK,G250106-024227,51.5,73.1
07/01/2025,02:42:42,302693.07/250106-024102,OK,G250106-024246,51.9,73.8
07/01/2025,02:43:00,302693.07/250106-024125,OK,G250106-024305,51.6,73.3
07/01/2025,02:43:20,302693.07/250106-024209,OK,G250106-024325,51.4,73.1
07/01/2025,02:43:25,302693.07/250106-024215,OK,G250106-024330,52.2,73.8
07/01/2025,02:43:31,302693.07/250106-024220,OK,G250106-024335,52.1,74.1
07/01/2025,02:43:38,302693.07/250106-024231,OK,G250106-024342,51.5,73.4
07/01/2025,02:43:43,302693.07/250106-024236,OK,G250106-024347,52.0,73.4
07/01/2025,02:43:48,302693.07/250106-024239,OK,G250106-024352,51.5,73.4
07/01/2025,02:43:53,302693.07/250106-024246,OK,G250106-024357,52.1,73.9
07/01/2025,02:43:57,302693.07/250106-024254,OK,G250106-024402,52.3,73.8
07/01/2025,02:44:02,302693.07/250106-024321,OK,G250106-024407,53.0,74.6
07/01/2025,02:44:07,302693.07/250106-024329,OK,G250106-024412,52.1,73.7
07/01/2025,02:44:12,302693.07/250106-024332,OK,G250106-024417,51.9,73.5
07/01/2025,02:44:17,302693.07/250106-024337,OK,G250106-024422,52.0,73.3
07/01/2025,02:44:27,302693.07/250106-024356,OK,G250106-024432,51.2,73.1
07/01/2025,02:44:32,302693.07/250106-024405,OK,G250106-024437,52.4,74.0
07/01/2025,02:44:37,302693.07/250106-024410,OK,G250106-024442,52.2,73.9
07/01/2025,02:44:42,302693.07/250106-024415,OK,G250106-024446,52.1,74.1
07/01/2025,02:44:52,302693.07/250106-024425,OK,G250106-024456,52.2,73.8
07/01/2025,02:44:59,302693.07/250106-024433,OK,G250106-024503,52.3,74.1
07/01/2025,02:45:04,302693.07/250106-024439,OK,G250106-024508,52.6,74.2
07/01/2025,02:45:10,302693.07/250106-024443,OK,G250106-024514,52.1,73.5
07/01/2025,02:45:16,302693.07/250106-024451,OK,G250106-024520,52.2,73.8
07/01/2025,02:45:22,302693.07/250106-024457,OK,G250106-024527,52.3,73.8
07/01/2025,02:45:28,302693.07/250106-024507,OK,G250106-024533,52.0,73.5
07/01/2025,02:45:34,302693.07/250106-024511,OK,G250106-024539,52.1,73.4
07/01/2025,02:47:57,302693.07/250106-024515,OK,G250106-024752,51.3,74.0
07/01/2025,02:48:18,302693.07/250106-024520,OK,G250106-024823,50.9,72.5
07/01/2025,02:48:24,302693.07/250106-024527,OK,G250106-024828,52.0,73.3
07/01/2025,02:48:28,302693.07/250106-024533,OK,G250106-024833,51.8,73.2
07/01/2025,02:48:34,302693.07/250106-024539,OK,G250106-024838,51.7,73.7
07/01/2025,02:48:38,302693.07/250106-024544,OK,G250106-024843,52.0,73.9
07/01/2025,02:48:43,302693.07/250106-024550,OK,G250106-024848,51.3,73.1
07/01/2025,02:48:48,302693.07/250106-024557,OK,G250106-024853,51.1,73.0
07/01/2025,02:48:53,302693.07/250106-024820,OK,G250106-024857,52.4,74.0
07/01/2025,02:48:57,302693.07/250106-024824,OK,G250106-024902,52.5,74.0
07/01/2025,02:49:02,302693.07/250106-024829,OK,G250106-024907,52.2,73.5
07/01/2025,02:49:07,302693.07/250106-024832,OK,G250106-024912,51.7,73.2
07/01/2025,02:49:12,302693.07/250106-024837,OK,G250106-024916,51.9,73.4
07/01/2025,02:49:17,302693.07/250106-024842,OK,G250106-024921,52.1,73.5
07/01/2025,02:49:21,302693.07/250106-024847,OK,G250106-024926,51.9,74.2
07/01/2025,02:49:26,302693.07/250106-024902,OK,G250106-024931,52.0,73.7
07/01/2025,02:49:32,302693.07/250106-024909,OK,G250106-024937,52.8,74.5
07/01/2025,02:49:39,302693.07/250106-024914,OK,G250106-024943,52.3,73.9
07/01/2025,02:49:45,302693.07/250106-024919,OK,G250106-024949,51.4,73.3
07/01/2025,02:49:51,302693.07/250106-024924,OK,G250106-024955,52.1,73.7
07/01/2025,02:49:57,302693.07/250106-024929,OK,G250106-025002,52.6,74.2
07/01/2025,02:50:25,302693.07/250106-024937,OK,G250106-025030,51.3,73.2
07/01/2025,02:50:30,302693.07/250106-024944,OK,G250106-025035,52.4,73.9
07/01/2025,02:50:35,302693.07/250106-024948,OK,G250106-025040,51.7,73.2
07/01/2025,02:50:40,302693.07/250106-024955,OK,G250106-025044,51.7,73.2
07/01/2025,02:50:45,302693.07/250106-025001,OK,G250106-025049,51.5,73.1
07/01/2025,02:50:49,302693.07/250106-025011,OK,G250106-025054,52.3,73.9
07/01/2025,02:50:54,302693.07/250106-025016,OK,G250106-025059,52.2,73.5
07/01/2025,02:50:59,302693.07/250106-025027,OK,G250106-025104,52.4,74.4
07/01/2025,02:51:05,302693.07/250106-025032,OK,G250106-025109,52.2,73.8
07/01/2025,02:51:09,302693.07/250106-025043,OK,G250106-025114,51.7,73.1
07/01/2025,02:51:14,302693.07/250106-025052,OK,G250106-025119,52.3,74.0
07/01/2025,02:51:29,302693.07/250106-025055,OK,G250106-025133,51.7,73.9
07/01/2025,02:51:34,302693.07/250106-025058,OK,G250106-025139,51.7,73.3
07/01/2025,02:51:39,302693.07/250106-025102,OK,G250106-025144,52.6,74.0
07/01/2025,02:51:44,302693.07/250106-025106,OK,G250106-025149,51.5,73.4
07/01/2025,02:51:49,302693.07/250106-025110,OK,G250106-025153,52.5,73.9
07/01/2025,02:51:54,302693.07/250106-025115,OK,G250106-025158,52.0,73.4
07/01/2025,02:51:58,302693.07/250106-025120,OK,G250106-025203,52.2,73.8
07/01/2025,02:52:03,302693.07/250106-025127,OK,G250106-025208,51.6,73.0
07/01/2025,02:52:08,302693.07/250106-025140,OK,G250106-025213,52.4,74.0
07/01/2025,02:52:14,302693.07/250106-025146,OK,G250106-025219,52.0,73.7
07/01/2025,02:52:20,302693.07/250106-025149,OK,G250106-025225,53.5,75.5
07/01/2025,02:52:26,302693.07/250106-025202,OK,G250106-025231,52.2,73.6
07/01/2025,02:52:32,302693.07/250106-025207,OK,G250106-025237,52.1,73.5
07/01/2025,02:52:38,302693.07/250106-025213,OK,G250106-025243,52.3,74.1
07/01/2025,02:52:44,302693.07/250106-025219,OK,G250106-025249,52.0,73.9
07/01/2025,02:52:50,302693.07/250106-025224,OK,G250106-025255,51.7,73.5
07/01/2025,02:52:56,302693.07/250106-025231,OK,G250106-025301,52.4,73.9
07/01/2025,02:53:08,302693.07/250106-025243,OK,G250106-025313,52.2,73.8
07/01/2025,02:53:14,302693.07/250106-025248,OK,G250106-025319,52.2,73.9
07/01/2025,02:53:20,302693.07/250106-025255,OK,G250106-025325,52.0,73.7
07/01/2025,02:53:26,302693.07/250106-025301,OK,G250106-025331,51.7,73.3
07/01/2025,02:53:32,302693.07/250106-025311,OK,G250106-025337,51.9,73.3
07/01/2025,02:53:37,302693.07/250106-025318,OK,G250106-025342,52.2,73.8
07/01/2025,02:53:43,302693.07/250106-025321,OK,G250106-025348,52.1,74.4
07/01/2025,02:53:49,302693.07/250106-025325,OK,G250106-025354,52.0,73.7
07/01/2025,02:53:55,302693.07/250106-025332,OK,G250106-025400,53.6,74.9
07/01/2025,02:54:01,302693.07/250106-025337,OK,G250106-025406,51.6,73.1
07/01/2025,02:54:07,302693.07/250106-025342,OK,G250106-025412,52.5,74.4
07/01/2025,02:54:13,302693.07/250106-025348,OK,G250106-025418,52.2,73.9
07/01/2025,02:54:19,302693.07/250106-025354,OK,G250106-025424,52.3,73.8
07/01/2025,02:54:25,302693.07/250106-025401,OK,G250106-025430,52.2,73.9
07/01/2025,02:54:31,302693.07/250106-025410,OK,G250106-025436,52.4,74.0
07/01/2025,02:54:37,302693.07/250106-025413,OK,G250106-025442,51.9,73.7
07/01/2025,02:54:43,302693.07/250106-025418,OK,G250106-025448,52.6,74.1
07/01/2025,02:54:49,302693.07/250106-025424,OK,G250106-025454,52.7,74.3
07/01/2025,02:54:55,302693.07/250106-025434,OK,G250106-025500,51.9,73.7
07/01/2025,02:55:01,302693.07/250106-025437,OK,G250106-025506,52.1,73.8
07/01/2025,02:55:08,302693.07/250106-025442,OK,G250106-025512,51.4,74.1
07/01/2025,02:55:13,302693.07/250106-025448,OK,G250106-025518,52.4,74.1
07/01/2025,02:55:19,302693.07/250106-025452,OK,G250106-025524,52.2,73.7
07/01/2025,02:55:33,302693.07/250106-025500,OK,G250106-025537,52.1,73.7
07/01/2025,02:55:38,302693.07/250106-025518,OK,G250106-025542,51.7,73.7
07/01/2025,02:55:42,302693.07/250106-025520,OK,G250106-025547,51.9,73.3
07/01/2025,02:55:47,302693.07/250106-025524,OK,G250106-025552,52.1,73.7
07/01/2025,02:55:52,302693.07/250106-025527,OK,G250106-025557,52.2,73.8
07/01/2025,02:55:57,302693.07/250106-025532,OK,G250106-025602,51.8,73.2
07/01/2025,02:56:02,302693.07/250106-025536,OK,G250106-025606,52.2,73.8
07/01/2025,02:56:08,302693.07/250106-025541,OK,G250106-025612,52.1,73.8
07/01/2025,02:56:14,302693.07/250106-025547,OK,G250106-025618,52.8,74.4
07/01/2025,02:56:20,302693.07/250106-025559,OK,G250106-025624,52.1,73.7
