date,time,code,FORCE_POS_1,FORCE_POS_2
2025-01-07,02:57:24,302693.07/250106-025659,54.4,0.0
2025-01-07,03:26:51,302693.07/250106-032627,0.1,0.0
2025-01-07,04:13:21,302693.07/250106-041255,48.6,69.7
2025-01-07,05:29:39,302693.07/250106-052915,71.0,99.7
2025-01-07,08:13:44,302693.07/250107-081304,49.3,70.8
2025-01-07,10:15:51,302693.07/250107-101535,47.8,69.0
2025-01-07,17:57:48,302693.07/250107-175724,48.0,69.5
2025-01-07,17:59:06,302693.07/250107-175844,46.6,68.2
2025-01-07,18:32:15,302693.07/250107-183150,46.9,68.5
2025-01-07,21:22:58,302693.07/250107-212234,0.0,0.0
2025-01-07,22:04:14,302693.07/250107-220340,50.6,71.2
2025-01-08,01:44:05,302693.07/250107-014315,49.8,70.9
2025-01-08,01:46:30,302693.07/250107-014605,50.2,71.4
2025-01-08,01:51:04,302693.07/250107-014952,50.2,71.4
2025-01-08,02:01:18,302693.07/250107-020050,50.4,71.4
2025-01-08,02:01:33,302693.07/250107-020109,50.1,71.3
2025-01-08,02:04:32,302693.07/250107-020408,50.3,71.4
2025-01-08,02:07:34,302693.07/250107-020621,49.9,71.3
2025-01-08,02:08:29,302693.07/250107-020803,50.2,70.9
2025-01-08,02:11:33,302693.07/250107-021107,50.1,71.3
2025-01-08,02:11:38,302693.07/250107-021113,50.7,71.4
2025-01-08,02:11:53,302693.07/250107-021134,50.2,71.0
2025-01-08,02:31:03,302693.07/250107-023040,49.5,70.1
2025-01-08,02:35:16,302693.07/250107-023442,55.5,76.2
2025-01-08,04:05:30,302693.07/250107-040505,50.3,71.4
2025-01-08,04:06:39,302693.07/250107-040611,50.1,71.4
2025-01-08,04:09:26,302693.07/250107-040833,50.4,71.4
2025-01-08,04:09:57,302693.07/250107-040929,50.4,71.4
2025-01-08,04:10:01,302693.07/250107-040934,50.4,71.4
2025-01-08,04:11:38,302693.07/250107-041106,50.0,71.3
2025-01-08,04:13:31,302693.07/250107-041257,50.2,71.2
2025-01-08,04:13:40,302693.07/250107-041307,50.4,71.4
2025-01-08,04:14:01,302693.07/250107-041330,50.0,71.2
2025-01-08,04:50:09,302693.07/250107-044943,49.2,70.2
2025-01-08,04:56:30,302693.07/250107-045601,49.5,70.8
2025-01-08,04:58:52,302693.07/250107-045829,50.2,71.4
2025-01-08,04:59:11,302693.07/250107-045841,45.2,66.7
2025-01-08,05:00:22,302693.07/250107-045924,49.3,70.5
2025-01-08,05:05:37,302693.07/250107-050506,50.2,71.3
2025-01-08,05:05:41,302693.07/250107-050511,50.3,71.4
2025-01-08,05:07:20,302693.07/250107-050652,49.3,70.8
2025-01-08,05:09:14,302693.07/250107-050852,49.1,70.7
2025-01-08,05:13:44,302693.07/250107-051326,48.9,70.2
2025-01-08,05:18:29,302693.07/250107-051801,49.8,71.2
2025-01-08,05:23:38,302693.07/250107-052306,49.3,70.7
2025-01-08,05:31:31,302693.07/250107-053110,49.3,70.8
2025-01-08,05:36:42,302693.07/250107-053618,49.6,70.8
2025-01-08,05:51:27,302693.07/250107-055017,50.1,71.3
2025-01-08,06:14:33,302693.07/250108-061406,48.9,70.3
2025-01-08,06:21:42,302693.07/250108-062122,49.1,70.3
2025-01-08,06:28:02,302693.07/250108-062745,49.9,71.1
2025-01-08,06:36:14,302693.07/250108-063548,49.3,70.5
2025-01-08,06:36:39,302693.07/250108-063614,49.9,71.1
2025-01-08,06:41:08,302693.07/250108-064027,48.9,70.3
2025-01-08,06:59:13,302693.07/250108-065851,49.8,71.3
2025-01-08,07:02:48,302693.07/250108-070227,49.6,71.0
2025-01-08,08:12:26,302693.07/250108-080933,47.2,68.5
2025-01-08,08:37:25,302693.07/250108-083709,0.4,0.1
2025-01-08,08:46:40,302693.07/250108-084615,47.4,68.8
2025-01-08,09:11:25,302693.07/250108-091102,0.1,0.0
2025-01-08,10:31:19,302693.07/250108-103028,50.2,71.2
2025-01-08,11:00:22,302693.07/250108-105956,49.6,71.2
2025-01-08,11:40:44,302693.07/250108-113237,49.8,71.1
2025-01-08,11:41:52,302693.07/250108-114116,49.9,71.4
2025-01-08,11:50:07,302693.07/250108-114943,0.1,0.0
2025-01-08,12:02:12,302693.07/250108-120151,47.1,68.3
2025-01-08,13:17:47,302693.07/250108-131724,48.0,69.8
2025-01-08,13:21:18,302693.07/250108-132054,54.3,77.2
2025-01-08,13:23:12,302693.07/250108-132249,55.5,77.2
2025-01-08,13:23:49,302693.07/250108-132327,54.6,76.7
2025-01-08,13:28:13,302693.07/250108-132757,54.8,76.9
2025-01-08,13:33:09,302693.07/250108-133243,55.1,76.8
2025-01-08,13:34:38,302693.07/250108-133359,54.7,77.0
2025-01-08,13:46:24,302693.07/250108-134600,55.2,76.6
2025-01-08,13:50:33,302693.07/250108-135015,55.1,77.2
2025-01-08,14:04:36,302693.07/250108-140423,55.2,75.6
2025-01-08,14:04:46,302693.07/250108-140433,55.3,76.2
2025-01-08,14:18:07,302693.07/250108-141748,55.1,75.4
2025-01-08,14:20:00,302693.07/250108-141933,0.1,0.0
2025-01-08,14:38:39,302693.07/250108-143818,48.1,68.6
2025-01-08,14:43:19,302693.07/250108-144254,0.1,0.0
2025-01-08,16:40:02,302693.07/250108-163925,51.1,70.9
2025-01-08,16:43:54,302693.07/250108-164323,51.4,71.4
2025-01-08,17:03:56,302693.07/250108-170332,55.2,75.7
2025-01-08,17:28:58,302693.07/250108-172836,55.6,75.9
2025-01-08,17:38:05,302693.07/250108-173729,55.2,75.6
2025-01-08,17:39:37,302693.07/250108-173857,48.7,69.3
2025-01-08,17:39:55,302693.07/250108-173902,53.9,80.8
2025-01-08,17:40:15,302693.07/250108-173910,53.7,79.8
2025-01-08,17:40:39,302693.07/250108-173914,55.0,79.6
2025-01-08,17:43:22,302693.07/250108-174258,0.1,0.0
2025-01-08,17:53:08,302693.07/250108-175126,53.8,76.8
2025-01-08,17:53:44,302693.07/250108-175324,55.6,77.1
2025-01-08,18:00:55,302693.07/250108-180033,55.1,75.7
2025-01-08,18:04:11,302693.07/250108-180309,55.1,75.6
2025-01-08,18:09:33,302693.07/250108-180854,0.1,0.0
2025-01-08,18:19:01,302693.07/250108-181817,55.2,76.4
2025-01-08,18:26:54,302693.07/250108-182623,55.2,75.7
2025-01-08,18:37:35,302693.07/250108-183709,55.2,76.0
2025-01-08,19:05:52,302693.07/250108-190520,55.3,76.6
2025-01-08,19:08:17,302693.07/250108-190753,55.6,76.8
2025-01-08,19:12:45,302693.07/250108-191228,55.1,76.2
2025-01-08,19:13:12,302693.07/250108-191246,55.1,76.5
2025-01-08,19:18:28,302693.07/250108-191810,55.1,75.4
2025-01-08,19:18:38,302693.07/250108-191816,55.4,75.8
2025-01-08,19:19:58,302693.07/250108-191944,55.3,76.7
2025-01-08,19:20:47,302693.07/250108-192005,55.1,75.6
2025-01-08,19:34:46,302693.07/250108-193423,50.7,71.3
2025-01-08,19:38:00,302693.07/250108-193735,55.1,75.8
2025-01-08,20:46:02,302693.07/250108-204535,55.2,75.7
2025-01-08,20:58:53,302693.07/250108-205814,55.4,76.1
2025-01-08,21:41:54,302693.07/250108-214051,0.0,0.0
2025-01-08,21:45:30,302693.07/250108-214513,47.3,69.2
2025-01-08,22:05:08,302693.07/250108-220441,47.6,69.7
2025-01-08,22:09:47,302693.07/250108-220920,47.3,69.1
2025-01-08,22:23:29,302693.07/250108-222301,47.9,69.7
2025-01-08,22:28:28,302693.07/250108-222808,47.7,69.7
2025-01-08,22:31:45,302693.07/250108-223114,47.2,69.4
2025-01-08,22:37:25,302693.07/250108-223707,48.0,69.9
2025-01-08,22:38:48,302693.07/250108-223825,47.3,69.6
2025-01-08,22:40:46,302693.07/250108-224023,48.6,70.6
2025-01-08,22:45:57,302693.07/250108-224533,48.0,70.2
2025-01-08,22:49:26,302693.07/250108-224859,47.7,69.9
2025-01-08,22:50:39,302693.07/250108-225015,48.0,69.8
2025-01-08,22:53:28,302693.07/250108-225304,48.5,70.7
2025-01-08,22:54:52,302693.07/250108-225429,47.7,69.9
2025-01-08,23:06:07,302693.07/250108-230549,48.1,70.2
2025-01-08,23:08:00,302693.07/250108-230708,48.0,69.7
2025-01-08,23:13:09,302693.07/250108-231209,47.2,69.6
2025-01-08,23:53:40,302693.07/250108-235317,48.8,70.7
2025-01-08,23:58:01,302693.07/250108-235749,48.5,71.0
2025-01-09,00:21:39,302693.07/250108-002102,0.0,0.0
2025-01-09,00:22:54,302693.07/250108-002152,46.9,69.0
2025-01-09,00:33:47,302693.07/250108-003325,48.3,70.2
2025-01-09,00:40:57,302693.07/250108-004024,48.1,70.0
2025-01-09,00:42:54,302693.07/250108-004218,0.3,0.0
2025-01-09,00:45:42,302693.07/250108-004525,48.2,70.4
2025-01-09,00:47:09,302693.07/250108-004647,47.3,69.6
2025-01-09,00:53:17,302693.07/250108-005243,49.2,70.4
2025-01-09,00:56:12,302693.07/250108-005546,47.1,68.3
2025-01-09,01:04:08,302693.07/250108-010355,48.7,69.6
2025-01-09,01:06:48,302693.07/250108-010627,47.5,69.1
2025-01-09,01:13:56,302693.07/250108-011335,47.9,69.2
2025-01-09,01:17:21,302693.07/250108-011633,48.6,69.4
2025-01-09,01:19:55,302693.07/250108-011935,0.1,0.0
2025-01-09,01:22:24,302693.07/250108-012203,47.9,69.0
2025-01-09,01:41:04,302693.07/250108-014047,50.3,70.5
2025-01-09,02:19:38,302693.07/250108-021922,47.2,68.7
2025-01-09,02:39:37,302693.07/250108-023546,50.3,71.4
2025-01-09,04:16:04,302693.07/250108-041535,0.1,0.0
2025-01-09,04:43:12,302693.07/250108-044242,50.7,71.4
2025-01-09,05:03:10,302693.07/250108-050253,50.7,71.3
2025-01-09,05:57:39,302693.07/250108-055719,55.5,75.9
2025-01-09,06:14:18,302693.07/250109-061400,49.7,70.1
2025-01-09,06:35:31,302693.07/250109-063515,48.4,68.8
2025-01-09,07:09:48,302693.07/250109-070931,48.8,69.2
2025-01-09,07:15:42,302693.07/250109-071449,55.1,75.2
2025-01-09,07:34:31,302693.07/250109-073408,48.4,68.7
2025-01-09,07:37:36,302693.07/250109-073712,48.0,68.7
2025-01-09,07:37:41,302693.07/250109-073717,49.0,69.4
2025-01-09,07:39:59,302693.07/250109-073923,49.1,69.7
2025-01-11,08:02:55,302693.07/250111-080207,51.1,69.0
2025-01-11,08:03:35,302693.07/250111-080207,50.6,70.2
2025-01-11,08:03:41,302693.07/250111-080212,52.3,71.2
2025-01-11,08:22:14,302693.07/250111-082126,48.1,69.6
2025-01-11,08:36:03,302693.07/250111-083545,47.8,69.8
2025-01-11,08:37:39,302693.07/250111-083712,47.6,69.9
2025-01-11,08:55:34,302693.07/250111-085516,46.2,68.4
2025-01-11,08:58:21,302693.07/250111-085748,47.2,69.4
2025-01-11,09:06:59,302693.07/250111-090637,47.4,69.6
